Day,Country,City,Street,Cause,Avg Length (Meters),Avg Delay (Seconds),Impacted Wazers
2 sept 2023,CI,San Pedro de la Paz,Ruta 160,null,2198.568134171908,688.901467505241,122563
1 sept 2023,CI,San Pedro de la Paz,Ruta 160,null,2638.927536231884,1154.6173913043478,83711
15 mar 2024,CI,San Pedro de la Paz,Ruta 160,null,3765.520979020979,2398.2062937062938,83176
19 ene 2024,CI,San Pedro de la Paz,Ruta 160,null,3486.4827586206898,2130.744827586207,82576
12 ene 2024,CI,San Pedro de la Paz,Ruta 160,null,3799.391304347826,2004.0108695652175,80722
1 mar 2024,CI,San Pedro de la Paz,Ruta 160,null,2906.4113712374583,1157.494983277592,80348
18 mar 2024,CI,San Pedro de la Paz,Ruta 160,null,2822.9700598802397,1589.7035928143712,80131
28 jun 2023,CI,San Pedro de la Paz,Ruta 160,null,2634.4219178082194,1253.4191780821918,76825
18 dic 2023,CI,San Pedro de la Paz,Ruta 160,null,3677.954703832753,1698.4912891986062,75553
27 mar 2024,CI,San Pedro de la Paz,Ruta 160,null,3157.6420664206644,1677.3025830258302,73127
14 mar 2024,CI,San Pedro de la Paz,Ruta 160,null,2991.840277777778,1622.09375,73093
29 jun 2023,CI,San Pedro de la Paz,Ruta 160,null,2735.87125748503,1256.2664670658683,73060
23 mar 2024,CI,San Pedro de la Paz,Av. Pedro Aguirre Cerda,null,2490.0678733031673,670.9954751131222,72576
10 may 2024,CI,San Pedro de la Paz,Ruta 160,null,3418.8848684210525,1009.2894736842105,72413
24 nov 2023,CI,Concepción,Av. Alonso de Ribera,null,2626.1291390728475,997.8443708609271,72132
16 ago 2023,CI,San Pedro de la Paz,Ruta 160,null,3242.9765625,1767.5703125,63316
16 dic 2023,CI,San Pedro de la Paz,Ruta 160,null,2949.379464285714,1329.7901785714287,62791
22 dic 2023,CI,San Pedro de la Paz,Ruta 160,null,3514.654205607477,1842.3177570093458,62739
20 dic 2023,CI,San Pedro de la Paz,Ruta 160,null,2913.2803347280333,1166.2677824267782,62473
16 dic 2023,CI,San Pedro de la Paz,Av. Pedro Aguirre Cerda,null,2025.969696969697,1275.8677685950413,58638
23 jun 2023,CI,San Pedro de la Paz,Ruta 160,null,3346.4115044247787,1521.1769911504425,56803
16 mar 2024,CI,San Pedro de la Paz,Ruta 160,null,2304.5045045045044,794.3423423423424,54664
27 jun 2023,CI,San Pedro de la Paz,Ruta 160,null,3019.3593073593074,1661.991341991342,54587
11 may 2024,CI,San Pedro de la Paz,Ruta 160,null,3230.013215859031,596.6123348017621,54386
15 dic 2023,CI,San Pedro de la Paz,Ruta 160,null,3451.5051020408164,1435.8775510204082,53799
17 dic 2023,CI,San Pedro de la Paz,Ruta 160,null,2423.45197740113,1047.553672316384,52533
21 dic 2023,CI,San Pedro de la Paz,Ruta 160,null,3004.180904522613,1255.1608040201006,52176
11 ene 2024,CI,San Pedro de la Paz,Ruta 160,null,4633.654411764706,4993.639705882353,51874
30 sept 2023,CI,San Pedro de la Paz,Ruta 160,null,2840.3351063829787,962.3563829787234,51644
31 oct 2023,CI,San Pedro de la Paz,Ruta 160,null,3007.388127853881,1142.8584474885845,51447
17 dic 2023,CI,San Pedro de la Paz,Av. Pedro Aguirre Cerda,null,1852.8095238095239,824.0515873015873,51024
25 ago 2023,CI,San Pedro de la Paz,Ruta 160,null,3205.6345177664975,1598.8121827411167,50719
1 abr 2024,CI,Concepción,Av. Jorge Alessandri,null,2355.3715846994537,530.7377049180328,49332
5 jul 2023,CI,San Pedro de la Paz,Ruta 160,null,3008.0090497737556,701.6425339366516,48126
2 ene 2024,CI,Concepción,Ruta 146,null,9222.583333333334,904.5416666666666,48095
14 sept 2023,CI,San Pedro de la Paz,Ruta 160,null,3629.313829787234,1693.340425531915,47477
